message,emotion
i see the issue as feeling timid in certain circumstances to discuss my sexuality or relationship status because im afraid of what others will say,fear
i feel like i wouldve liked a steadier stream of action i definitely cant complain,love
i am just days into the summer and already feeling quite productive,joy
i may just be at the beginning but im feeling pretty lucky too,joy
i feel too distracted i remove any negative energy that i can,anger
i am truly excited and feel privileged to be called one of his children through the work of my savior jesus christ,joy
i feel honored to serve them,joy
i feel something as i pass the darkness to meet the sunlight now i m not afraid of anything because i am in your arms,fear
i wouldn t feel so surprised that he does but every time he interacts with my family i love it,surprise
i didn t even think i was the type of person that could feel homesick,sadness
i cant quite decide if it is a feeling of the heart or one of the mind if it is logic that is telling me to be doubtful or if it is my gut,fear
i can t help but feel antsy uncertain,fear
i tend to feel envious jealous or critical towards those who are doing well or being honored,anger
i didn t feel so grumpy afterwards,anger
i have many feelings about where my life is taking me all of them positive some of them s,joy
i feel grumpy or mean when i don t want to hang out with people,anger
i dont care i never feel jealous at all because i do love my siblings too,anger
i felt secure and solid a sense of knkowing who i am through and through and a sense of invulnerability now i feel im uncertain what my reaction to things is going to be,fear
i wear xhosa clothing i feel respected by one group but isolated by all because then i dont fit anywhere,joy
i want to feel it you liked,love
i feel the need to tell my loyal readers what type of people i work with in this office,love
i dont know your struggles but i hope you know youre not alone in feeling overwhelmed if thats where youre at today,surprise
i was still feeling pretty strong and just tried to do my best at holding a pace,joy
i feel it in every cell of my being god really really loves him intensely and is being faithful in fulfilling all his promises to him to us as he is also doing for you and yours,love
i use to feel college keeps you entertained long enough to keep your mind from wandering around in the past memories at least for me it does,joy
i feel some pleasant feeling in her eyes,joy
i was slow and dragging on my runs but i could immediately tell that the cushion would feel amazing at the end of a long run,surprise
im starting to feel as if my attempts are in vain and that its all really pointless because i have no idea what i want to do,sadness
i never imagined my soul could feel so much love for another and each day that goes by i am completely amazed at the things my son does,surprise
i had paid more attention to him because he was the only thing in the world that made me feel so loved,love
i have no feeling all i see is cold just cold,anger
i know what relaxed and positive feels like now after the retreat i am starting to feel extremely grouchy at myself because i am not sticking to my goals,anger
i would imagine the musician exuma who wrote this intense piece carried the same fierce anger i feel i am amazed at the comfort i get from hearing these words,surprise
im nervous that simon may try to get all noble on us and fight it but this is something that i feel devoted to,love
i seriously loved that the script had kyle write lindy pages and pages of letters confessing his feelings something about writing a letter to share ones feelings is so romantic,love
i have to feel so beaten and bruised,sadness
i heard my classmate yell as i approached the batting spot rounders bat in hand feeling all dangerous and loose cannon esque,anger
a neighbours girl had disappeared and many people were looking for her someone had gone to notify the police something had certainly happened to her,fear
i feel as if someone has been beating me over and over not giving in until i broke,sadness
i feel like im looking at this blank white background and a numbness sets in because im scared to admit to the things i think about,sadness
i feel discouraged let me know when i m eating things that keep me from losing weight and are generally just there for me,sadness
i feel that there is no purpose of life we are not here to save the world or become faithful followers of an imaginary god,love
i am feeling overwhelmed and anxious that i realize i have forgotten to use them,surprise
i smiled feeling a tad bit naughty but somehow satisfyingly vindicated,love
i feel free enough to let tears fall like rain when will i be brave enough to tell the secrets behind my pain,joy
i will never understand why a sick person like the shooter at virginia tech if his intention is to kill himself in the end feels the need to take a bunch of innocent people along with him,joy
i was looking at the mirror feeling disgusted with my fat fat body,anger
i just feel so wronged and sad that i cant even have the space i want,anger
i hate how i feel not exercising and i was surprised to realise how bad i feel about myself without weight training,surprise
i am feeling and it pushes it far far away and gives me this amazing feeling of love and happiness,surprise
i can use the money but i feel extremely reluctant to spend even a dime of it,fear
i feel like hes agitated,anger
i started to feel curious about what would happen if i had fewer disks in the zfs storage pool,surprise
i feel very fond of this place now,love
i have thought about recently when our hearts break and we put them back together they usually still feel like a part of them is with the beloved,love
i feel a gnawing longing for amy,love
ive had a lot of luck on weight watchers in the past and when ive tried to do it this fall i just feel cranky and caged and end up stringing together good days followed by awful days,anger
i want to spend every waking minute i can on it ive already written nearly words and i feel completely enthralled with it,surprise
i allow myself to experience it all the way through then i come out the other side wiser about who i am and what makes me feel i do not deny myself the emotions of sadness discontent depression or defeat,sadness
i feel like i become a really awful person when i get in this mindset but i was seriously disgusted with everyone eating,sadness
im feeling totally relaxed at that moment i wanted more and longer massage for me but the reality have to kicks in with the final whitening mask enveloping my face and neck before it ends,joy
i feel it means the director is indecisive and is looking for inspiration within someone elses work,fear
i feel is humiliated the chong annoy a doll to usei am nasty,sadness
i truly feel that even he became fearful of his anger at this point and if his grandmother was not there i do not know what would have happened,fear
i not feel blessed to know all these things in every heartbreaking trial there is always some silver lining her perfectness and the fact that she will always be just that is mine,joy
im feeling listless so that seems like a damn good idea,sadness
i feel so victimized by this auto management company and that the bank is being totally unreasonable,sadness
i feel quite free now ready to do whatever i want,joy
i was feeling horny still so i got down on the floor lying down on my back,love
i just cant seem to find the words to tell you how i feel we have to leave our beloved walkway our sunny lounge,joy
i feel if youre curious,surprise
i know what is wrong i feel so impatient to feel better,anger
i feel so shocked that more than people in the world care about what i say about makeup but thank you nonetheless,surprise
i stalked her on youtube and now i already can feel the tender beginnings of a new obsession,love
i hate running on the treadmill because i feel like the other people will notice that i am not graceful and i am not good,joy
i cant help but feel wronged and hurt,anger
i feel it my calling to create a peaceful abode for all to come home to,joy
when i was convinced that someonne had broken into my flat and i woke up and heard sounds that frightened me,fear
i always feel a gentle warm hum in my head at this point and a faint golden glowing sensation between my eyes like all the rest of the world has shut off and i am just here,love
i totally get it but it i had mixed feelings about it and was actually surprised at my reaction to the change of venue,surprise
i knew carpet had a pretty extensive color palette but i feel like there are so many cool patterns and even textures that i was introduced to during the duration of this class,joy
i have a feeling that no one could smell my perfume even though no one was impolite enough to point out that smell,anger
i was beginning to feel frightened by all of this so i went to a href http careman,fear
i work thank god but i do feel a wave of envy when i hear of how much this woman is liked,love
i feel like it is going to make my cosplays superior somehow,joy
i am feeling shaky and weak,fear
i couldnt see a future where i wouldnt wake up feeling distressed,fear
im currently studying canine nutrition but i have a feeling that all this awareness im encountering against gods innocent blameless creation will lead me down the road to study animal law,joy
i cant recall the intense feeling that i had when i decided not to talk to him except of course when someone asks why i got angry,anger
i maintain and form friendships leaves me feeling deeply embarrassed,sadness
i feel about and the many many memories we have of being in the hospital i was surprised the numbers were that low,surprise
i am feeling kind of sympathetic towards camilla for that,love
im feeling stressed about my fitness because we are hanging with guests and obviously that doesnt create a lot of light dinner cereal for dinner situations,anger
i sympathize so that according to the dictionary is the term feelings and i think they use a lot of games sympathetic friends of,love
i dont know what to call this phenomenon the one where i go into a silent blue phase and dont feel like talking to anyone or doing anything productive,joy
i dont like it when you re gone for i hate the feeling of being alone,sadness
i see she is middle aged her hair greying in a way that kind of makes her feel like a much beloved aunt,love
i want to be separated from him but not for a long time just enough to feel the sweet misery of missing him so damn much knowing i will be able to see him again soon enough,love
im feeling kind of fond of kara right now which means i think shes going out next week making for a final three of chloe santino and daniel with daniel ultimately taking home the win,love
i could feel my energy decrease i was less positive and my food habits changed,joy
id be your memory lost your sense of fear feelings insincere can i be your memory,anger
i feel like a whiney little bitch,sadness
i feel like students would find the sarcastic nature of these videos humorous and more interesting than some of the traditional options that i discussed previously,anger
i went back to my desk feeling a little nervous about my future but mostly ok,fear
i had the music to feeling too much immediately decided to write about a dismayed pastor in a lazy church who won t get off their asses unless they get the warm fuzzies,sadness
i was feeling far more uncomfortable then he was,fear
i have a feeling that someone somewhere is furious,anger
i feel like i can call him my boyfriend even though the words feel weird when they come from my lips,surprise
i was sitting in the flying m this evening and began feeling very nostalgic,love
i have a feeling palin supporters might be pleasantly surprised,surprise
i can look upon this thing and it will remind me not to be too sad become depressed or feel that all is lost,sadness
i feel as if i have had the stuffing knocked out of me and i was not in the least surprised recently to find that i am suffering from emotional burnout when i answered a burnout questionnaire online,surprise
i feel so disappointed in myself,sadness
i feel he makes an acceptable creature in his have lawful if you dont try and compare him to karloff,joy
i feel like a part of my beloved friend and roommate has been returned to this world,love
i can not see angelique accepting as she needs me as a strong counterpart i feel not as a submissive slave,sadness
i just feel overwhelmed by my inability to understand life,surprise
i feel slightly doomed to wearing clip on costume jewellery in my golden years,sadness
i feel nervous about a shoot i rush and my pictures get blurry sloppy boring and repetitive the same poses over and over and over,fear
i too was feeling irritated at my plight but no way i was giving up,anger
i feel like i liked it but at the same time i feel let down,love
i feel people are not so curious about their own religion,surprise
i have down time on the weekends and am feeling creative i spend time in my closet aka the room where i keep all of my beloved garments that doubles as my home office,joy
i feel this strange sort of liberation,surprise
i apologize if anyone feels offended in any way to my thoughts and feelings,anger
i feel like i am the construction worker mending the bridge supporting juniors and seniors seniors aka my parents i feel very tired very breathless i just want and yearn to be free like any other teenager or growing adult and be able to do what they can do club enjoy go out but no,love
i feel very blessed to have had two great cooperating teachers,love
ive been feeling very nostalgic lately so i have been reading past books again and discovering things about the stories that i had previously forgotten its been eye opening and i have loved every minute of it,love
i went to my second yoga class one reason why i am feeling so gracious this time vinyasa last one was hatha which is more about holding poses and centering,love
im relatively certain that our recent rift over home schooling isnt the last time my father will feel that i have wronged him,anger
i feel so uptight and angry and worthless,fear
i often feel impatient for spring to arrive and excited at all the projects i would like to start,anger
i like except his is really goofy but i don t feel that connection attraction that is so vital in good relationships,joy
i was lounging at my mom and corties pool steadily feeling contractions from our sweet girl,love
im feeling a little wronged and a little guilty at the same time,anger
i feel so dazed right now,surprise
i feel this strange shift between us the heat between us intensifying and i get excited my nerves bubbling up inside me,surprise
i know they are on the go now so may be we wont hear for ever so long answered ben feeling less impatient to be off than before this fine proposal was made to him,anger
i can feel the tender skin heating up where his hand is certainly leaving a trail of bright red marks against my pale flesh,love
i would probably still feel completely overwhelmed and also i would not have met the people who i am really enjoying spending time with,surprise
i feel like i haven t really had any time to freak out or become shocked by the fact that i am half way across the world from anything familiar,surprise
i want to have a job where i feel valued and important,joy
i read feel the fear and do it anyway by susan jeffers when i was feeling anxious and it really helped me,fear
im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,love
i still feel hesitant about playing a character with so much hidden depth and past history,fear
i got the feeling that i wasnt going to be entirely satisfied so i went ahead and jumped into my favorite medium,joy
i still feel confused,fear
i thought i was gonna write about something today not really feeling clever right now,joy
i feel will properly support my artistic and personal growth,joy
i feel like it is a special event i will make sure i spray it on a bit,joy
im still feeling a little annoyed about it all,anger
i feel amazing posted on a href http www,surprise
i feeling dazed look in front of this woman s problem is so strange oh,surprise
i can t bear to look at my body in the mirror it feels ugly and fat and i know i need to go to the gym but i m just so tired,sadness
i am constantly feeling overwhelmed about my finances,fear
i was wondering why i was feeling so irritable fat and insanely exhausted over the course of the past few days,anger
i can still feel very uncertain about the way out of the current issues in education,fear
i know its not possible for him to feel remorse because i think he was a savage heartless beast,anger
i just feel uncomfortable being the only one not talking about whatever stuff they are talking about,fear
i barely had anything to drink and was feeling pretty mellow but i really enjoyed myself,joy
i cant help but feel nostalgic and a little bit down,love
i feel very selfish for feeling this way because on friday multiple lives were lost that will never be able to be and i should be celebrating the fact that i have lived years and that this has been the biggest struggle in my life,anger
i feel agitated and frustrated at the same time,anger
i learned to not allow an angry upset or sad feeling enter the day into which i awoke from a night of unsavory dream s,sadness
i am learning to check my motives when i feel i ve been wronged and to ask god constantly to weed out any selfish motives or emotional strongholds that the enemy may use to cause dissension,anger
i didnt feel much like me but thats largely resolved itself,joy
i must say i m feeling jolly as a tipsy swedish clown because of it,joy
i must admit it did feel a little strange to go to fox,surprise
i remember feeling similarly uncomfortable when a woman i once met asked me for my id to prove that i am who i claim to be,fear
i feel warpinski capitalizes on this idea with her elegant photos that all hold personal stories,joy
i know that it was very difficult for john to present these motions because he has always been extremely supportive of staff and wants them to feel valued and well compensated for their work,joy
i know that we have to extend grace to honor our father in heaven even though i feel reluctant to do so,fear
i feel it is quite romantic and based on age in realtionships and whether age matters,love
ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love
i feel that making art in the landscape is about getting dirty pushing your body and mind harder than normal about sometimes being uncomfortable wet muddy cold and tired,sadness
i have this desire because i understand the feelings of longing for contact wanting more and wondering,love
i feel like lately ive been perpetually stunned one way or the other,surprise
i missed him and it was then that i subconsciously started to try to phase out my feelings for him to dull them so that when the rejection came it wouldn t be as sharp a blow,sadness
i sat on the edge of the bed feeling absolutely humiliated,sadness
i feel shocked when someone i know dies,surprise
i react in this manner i feel shitty about upsetting people so then i over correct by being too accommodating and it becomes a neurotic see saw of weird behavior,sadness
i always feel like their caring is fueled by the ulterior motive of getting me back in church and i dislike being manipulated no matter how altruistic or well intentioned the motive is,love
i woke up feeling that my hated rut had been washed away by a good strong soaking,anger
i feel like we say gentle every rd word,love
im being too pessimistic but im feeling frantic to see some serious movement on that scale,fear
im obliged to sit in front of the computer with that same old feeling of longing for trips and seeing the world and going on roadtrips,love
i always looked to for words and inspiration and now i feel like im stunned and useless to offer any back to them,surprise
i feel the need to plug this because this guy is a friend of mine and am slightly amazed hes doing this,surprise
i had a great time teaching and walked away feeling energized and eager to continue down this path,joy
i find it really hard to ask for help support because as soon as i ask i feel really pressured to be helped,fear
i have a feeling cute little french bulldog will soon be wearing pampers as well because when farrahs sister ashley asks if the puppy is potty trained the pup as if on cue pi es right on the floor good dog,joy
i feel pain over what happened in those tragic events whose memory must serve to ensure such horrors are never repeated and that we strive on every level against all forms of anti semitism and discrimination,sadness
i was already feeling emotional about having to leave k behind again or was it because of the alcohol id consumed by that point or both,sadness
i was feeling extremely agitated and anxious but there was also an added sadness and that i do know came from the fact that it was our anniversary years,anger
i just pottered around the house feeling miserable and finding it an effort to smile,sadness
i feel more vulnerable and confident and completely open to what god has for me,fear
i hate myself for the fact that the single thing that makes me feel worthwhile in this life is how i have loved and how i have been loved in return,joy
i feel like with my dates in days makes it kind of weird to post a blog about non date related non sense,surprise
i feel surprised by how down it makes me,surprise
i still feel she may be innocent,joy
i am not really sure where to place that but it gave me back a piece of me i didnt remember or didnt know feel anymore for a very long time and i must say i really liked that,love
i just feel so weird to say this but i had to have one,surprise
i try not to give into the negativity towards self published books but i cant help feeling surprised when i find i great one so i guess i do give into it,surprise
i feel like hes romantic,love
i do not feel gracious or magnanimous i feel like curling up in the fetal position and crying while hugging my teddy bear,love
i felt that doing it the way it was done was an attempt to make it feel a lot more intelligent than it actually was,joy
i feel very needy when i have to ask to hang out with you everday and even more so when you tell me that you are busy,sadness
i feel like there is valuable real estate available on my hall closet shelf,joy
i feel accepted because obviously we were just so depressed sitting by ourselves,love
i am sure that everyone went through that already i know the feeling of being confused,fear
i sit here sipping on my fourth smoothie of the week long challenge i feel fantastic,joy
the event which got me angry got also an aversion in me,anger
i feel overwhelmed as an option a way out of stress or poverty but it s fleeting and not because i want to more because i need to know i have options,fear
i feel like i will never be accepted by his family because she will always be there to stop it,love
i am very much feeling vain today,sadness
i have always had the feeling that i did have some repressed memory,sadness
i be able to put my hands on someone i care about it requires that i feel them smell them taste them that i feel them quiver under the gentle touch of my hand as i brush it against the beautiful curves of their body,love
i feel rejected and unattractive,sadness
i have found that nice comfy dent my butt has made on the couch so welcoming so hypnotic and has that aura of where i belong that i feel strange not easing down into it and basking in the glow of vegging out for the evening,surprise
i do feel quite frustrated because dont have people to teach and suddenly recall back some ex classmate,anger
i feel really weird recently,surprise
i feel strange about going to rochester without my team this year she admitted,surprise
i still feel drained and tired,sadness
i could feel his heart pumping like mad,anger
i feel very much like i grew up with liz and have often been disgusted in the last few years of how the character has been thrown under the bus,anger
i have had bangs since my hair was long enough to cut and to me there is no faster way to feel dirty than to have greasy bangs,sadness
i was really there and to tell her that she was really not having one of those frustrating dreams from which one emerges feeling shortchanged and hot all over,love
i am only now coming down from it all but still feeling a tender coziness and moved to record it here,love
i feel dissatisfied after his calls,anger
i feel that since the last years of my life have been devoted to the carrier i should make a post about it,love
i feel amazed by her already,surprise
i never feel outraged after i ve been pranked but instead feel privileged that i have brothers to share laughter with,anger
i still thought my kids were awesome i was still loving having them home and feeling blessed to be their mommy,love
i dont want to be alone but i feel like im too fucked to actually make a relationship work i stress about being single of my life the other goes to money,anger
i will listen to a new song i like over and over and over i can go up to or times in a row and i thought about it i need it to feel like its been impressed in my skeleton and running my bloodstream,surprise
i feel more useful than ever,joy
i am so glad i did stay in because after some reading cleaning playing with the kitties and singing along to david gray i feel terrific,joy
i feel like im in a really good place right now,joy
i am feeling broke and moody,sadness
i feel a strange impression,surprise
i feel reluctant expressing my feelings towards people,fear
i didnt mean to and i was pretty shaken about that although my line manager didnt make a big deal out of it at all which left me feeling really shaken,fear
i see it i haven t learned much for the last two years and looking at my fellow friends i feel quite envious and shameful img src http s,anger
i get the feeling that maybe at most of violent criminals are ever caught but no one ever talks about the hard truth,anger
i feel like basketball twitter is this weird family of anti social people that really like to talk,surprise
i wish someone would feel nostalgic about me,love
i was feeling indecisive so i just asked austen what his favorite items were,fear
i feel like i already ask a lot from my friends and family who are already supporting me in my work here,love
i found today its just overflowing with lovely imagery so if youre feeling a little cranky and full of angst like i am today go over and have a wander around a href http www,anger
im feeling a bit nostalgic tonight as i think about what thats going to mean for the family,love
i had that big talk on being able to love other people i can feel as affectionate as i want about someone without feeling really guilty like i used to,love
i think thoughts that manipulate my feelings my mind corupted with heartless beings sharp daggers of mindless indulgence pierce in to the flesh of reality like a child in a fake fantasy punchinh holes in a wall of reality i can not escape this fatality,anger
i shouldve been feeling ecstatic happiness joy and thankfulness,joy
i wouldn t say i m feeling morose about it per se but i keep thinking of a science fiction short story i read,sadness
i feel dissatisfied with the advances we ve made rather than this team stinks,anger
i felt very little with the death of each girl and though the last minutes of the film left me feeling a little disturbed i didn t feel anything for the characters themselves,sadness
i feel like i have way to many questions and things going on that are un resolved,joy
i allowed myself to take a peek and feel into the consciousness of our beloved planet,joy
i slowly explode and feel like i may hit everyone within throwing range with my emotional shrapnel,sadness
i feel that i inspired him to add colour to his wardrobe,joy
i didnt feel the g force effect i am stunned i went on this ride with my friends,surprise
i knew that we have something in common i can feel your artistic soul she smiles with her eys would you like to see my work,joy
i spend quite a bit of time on it i feel it wont be too long before my daughters are curious as to what moms been up to,surprise
i cant help but feel mildly irritated by it,anger
i dinged a couple of points for the fabric this is a rayon woven that is a bid rough feeling and the weird very short sleeves bodens sleeves usually run long too,surprise
i feel like im exaggerating or being ungrateful,sadness
i have been thinking a lot about why even though i am feeling the progress of my workouts im not loving it,love
i am beyond flattered but i still feel a bit shocked when i receive awards as there are so many bloggers and youtube gurus that i am in awe of,surprise
i still love to be pregnant and still feel shocked that its moving so quickly this time,surprise
im standing by my daughters bed surrounded by empty juice boxes and feeling defeated by this crummy disease i hope i can draw on some of the hope and encouragement which surrounds me today,sadness
i admit to feeling a little cranky and doubting my writing ability,anger
i feel hypersensitivity abuser is easily insulted and claim that feelings are hurt when are and take the slightest setbacks personally,anger
i have a feeling that the fantasy community will be impressed that being human isn t pg in its sensibilities,surprise
i feel utterly loved because of my friends,love
i am still figuring out how i like it set for flat and uphill for flat dropping the fork to kinda feel weird but i think i am just used to my old bike,surprise
i really can feel his prayers what a faithful saint he is,love
i feel irritated when i accidentally caught a glimpse of my student id,anger
i knew i was feeling terribly distressed and depressed,fear
i woke up feeling a bit more calm than last night and then i happened upon this isaiah fear not for i am with you be not dismayed for i am your god i will strengthen you i will help you i will uphold you with my righteous right hand,joy
i am grateful that when i did not feel i had anyone that i had him and even now that i have such an amazing support group that he is still there and that he is reflected through each of my friends,surprise
i feel like the lace looks delicate but is more sturdy than you might realize i snagged a few lace y bits through the day and there is no damage as far as i can see,love
i feel really terribly greedy,anger
i feel like these little low key activities were perfect for mario,sadness
i feel so pressured to stay on task with my weight loss with all these little things around me that would just solve itself if i would lose the weight,fear
i reali feel sympathetic towards da children living der,love
id feel her sweet felt like hair against my chin and itd smell the most perfect little smell,love
i know i have to make big decisions but i feel terrified everything in my life has changed all of a sudden and even without two mental illnesses i d be having a hard time adjusting but taking everything into account i wonder how i still manage to not go ape shit crazy,fear
i feel a little weird reviewing such a pop game considering even ive never heard of most of the stuff i have been talking about but here it is,fear
i awoke and checked my hand it was still burning and it made my tongue feel weird and goddammit will it never stop,surprise
i feel like as a missionary in thailand we dont really see many baptisms but when we do its a very tender thing,love
i should but thank you for reminding me of your great love and giving me the feeling of being loved so much,love
i feel like can t say it out of respect for my friends with the more delicate constitutions,love
i remember feeling surprised and stunned that a writer of the stature and quality of lauren had read one of my books long ago,surprise
i hate being a girl the thoughts and feelings that we have are idiotic,sadness
i feel hostile to my family all the time,anger
i love how i feel when i see my images i m married to another wonderful photographer who enjoys testing new ideas with me and i love how my clients feel with they see theirs,joy
im not feeling too hot in general so he said he wanted to buy me lots of new make up and hair things to play with so i feel a little better about myself before i go,love
i love waking up and already feeling hot i love wearing skirts and sandals everyday because everything else is just to unbearable and i love when snow cones and otter pops are a main staple in my diet,love
i feel a sadness in the midst of the goodness of being in a pleasant apartment near lake michigan,joy
i feel frantic but i am frozen there is so much to do that i cannot do anything,fear
i feel stupid for thinking somebody cared about me,sadness
i know it s wrong but i finally feel valued and alive again,joy
i feel too inhibited by the fear of challenge to reasonably express things which deserve to reach a wider audience,fear
i think nico will be better this year as in not screaming bloody murder but i have a feeling lola isnt gonna be a fan mainly b c she is terrified of people she doesnt know,fear
i do feel an obligation to write on here once in a while to keep supporting people that need help in their quest to losing weight,love
i go on facebook barring a few exceptions i always feel at the end of it like ive been beaten with a stick,sadness
i cant see any reason why anyone would ever like or feel affectionate towards or,love
i admit im feeling somewhat melancholy this year because my client isnt breeding any mares this year thanks to the a href http www,sadness
i already feel that keeping my spv tips here is in fact really useful img alt mrgreen src http s,joy
i feel a little dangerous today so let s see if we can t make some sense of it,anger
i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,surprise
i always feel distracted and my heads always in a dream and unfortunatly this is getting me in a lot of trouble but on a posotive note i am trying my best to behave and focus for my sake but also im scared of mr,anger
i feel a hostile takeover is in order,anger
i hear about people who hurt themselves intentionally then let everyone know it makes me feel wronged,anger
i know it is impossible to gain lbs in three days due to all the salt i was feeling pissed,anger
i can attest to that personally sometimes i feel as though i wear my motivation as armour and refuse to be beaten down by my ever plummeting l learning experience,sadness
i feel like i have missed so many of their events when i focused on mine,sadness
i was shaky and weak hollow feeling and tender stomached but i managed to get ready and go,love
i had an idea rolling around in my head and then i happened upon a great sale for the only thing i needed to buy to make the gifts happen and well im feeling pretty jolly and elfin and sneaky about the while thing,joy
i feel hesitant for some reason,fear
i went today cos was feeling restless,fear
i feel shitty p,sadness
i feel cute and feisty and a bit more like myself again,joy
i feel super invincible now,joy
i dont thats fair of me but its how i feel i was disturbed by ellies blithe dismissal of her underage she had just turned drinking,sadness
i got up around and gregg invited to me go to breakfast with him but i was sort of feeling grouchy so i stayed home,anger
i guess in my head ive connected dot i wore my hair in a ponytail age to to dot i feel so ugly even though that latter part was just puberty and pubescent boys talking,sadness
i feel like im affectionate but then i began to wonder,love
i feel like before and after photos are somehow rude to well before me and to women who look similar,anger
i feel so loved by them,love
i have been feeling pretty grumpy when i wake up in the morning but your smile always takes it all away,anger
i feel very curious i dare sure,surprise
i feel a longing for my old days when i used to drink unappetizing liquors and used to debate some matters with friends as if i became just a politician in a dirty apartment,love
i sat on the couch last night next to a beautiful sparkling christmas tree feeling overwhelmed about all there is to do,surprise
i feel lousy all the time,sadness
i still feel extremely shocked and crazy nervous,surprise
i feel like there s this romanticized artist persona that a lot of people feel they need to conform to in order to be taken seriously as a creator and it s just as dumb as thinking that one needs a pair of nike shoes to be an athlete or final draft to be a writer or whatever,sadness
i want to find the human part of my street photography i want them to feel positive,joy
i am a little nervous about scouting out our move and i feel uncertain,fear
i never have to feel hot inside my house,love
i have my own set of favorite love songs they just cause me to feel feel romantic no matter in what mood i am,love
i feel so foolish and ashamed,sadness
i feel stupid annoyed and unhappy,sadness
i still watch when i feel nostalgic movie that still makes me cry even though i know it has a happy ending movie that i remember better than high school math and a movie that i thought suited this list perfectly because it reminded me what comedy used to be,love
i suppose that is how a lot of things feel when you are not feeling well,joy
i got a taste a salt air in the mouth insta vacation feel of brighton s beloved hipsters go team,love
i agree with your original comment about down by the water i feel like that song transcends time and is gorgeously romantic but it s cinematic in that i feel like i m watching a story that belongs to someone else,love
i feel shy with a capital s and frankly,fear
i do i just end up feeling shitty cant concentrate low level of productivity,sadness
im really good at feeling overwhelmed but ignoring it for a while and letting it build up,fear
i want to be separated from him but not for a long time just enough to feel the sweet misery of missing him so damn much knowing i will be able to see him again soon enough,joy
im feeling a curious mixture of pride and disappointment,surprise
i feel kinda slutty and i know a few ppl that think i am aswell,love
im feeling all vulnerable and shit,fear
i thanked god today for we feel innocent children in our love,joy
i cant quite put my finger on why i feel so weird about this scenery,surprise
i love my savior jesus christ and feel blessed to have such an amazing relationship with him,love
i imagine feeling infuriated and helpless humiliated,anger
i was feelin too bashful to ask tell my friend what happened so i went to see the doc alone to get some loritab,fear
i think i still feel numb,sadness
i can feel horny for a minute and feel like studying complex molecular movements the next um,love
i don t have to feel it alone,sadness
i feel insulted all day,anger
i took for complaining about money on this blog i feel hesitant to share concerns that i have when our expenditures exceed our cash flow,fear
i feel valued and needed where i work,joy
i feel more like a member of a mutually supportive community,love
ive got a feeling that most folks around town arent too fond of the single digits populating the local weather maps lately but hang in there weve got a little light at the end of the cold and narrow tunnel,love
i feel i am uptight and not that fun these days,fear
i constantly feel like i should make the way i speak less intelligent than the way i was brought up,joy
i am likely feeling very stubborn on this point,anger
id go to the mirror frequently and just feel disgusted,anger
i still cant shake the feeling that somehow this enraged students reactions were my fault,anger
i feel like i have to walk real carefully so it wont get shaken and just all shatter and break,fear
i called my therapist and said i feel like i am being selfish but i am not happy and i think i need some space,anger
i will put my hand on his scar covered chest and feel that half of a heart beating oh its in there beating and feel the sweet rhythm and remind him that we are not alone,love
i am feeling makes me vulnerable and i am basically handing her the weapon to hurt me,fear
i feel a bit surprised myself that id write to you but i felt the need to level with you on something near and dear to both of us justice,surprise
i feel overwhelmed by more things than normal and i find a depletion of the joy in my heart,surprise
i started feeling maybe i was special after all,joy
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear
i say yes i feel wonderful tonight,joy
im just used to the attention i got from brad which at times i felt was way too much attention and was overbearing but a little i feel would be considerate,love
i feel a hot wind on my shoulder weeks ago,love
im feeling very relaxed again just remembering it,joy
i carried the feeling you have to really be gracious about this particular day and to the birthday person,love
i cant help but feel helpless n disappointed,fear
im feeling very shaken and fragile,fear
i have to say it is making me feel very tender inside like a wound that has scabbed over on the surface but is still raw and unhealed underneath,love
i cant begin to describe the frustration i feel the notion of trying to put my love you in words words than you can read and understand is just ludicrous,surprise
i am feeling particularly weepy and hormonal and my own beloved dog is at the vet with kidney problems yes i quickly skimmed through the last chapter to keep myself from bawling too loudly,sadness
i feel cold before,anger
i actually forgot how active he is when hes feeling well,joy
i feel so uncertain about myself,fear
i feel free video u http a f ftheloon,joy
i tried re drawing my earlier drawings from memory and coloring them but i feel these actually look less successful than the first wave,joy
i didnt sleep as much as id hoped and im feeling kinda grumpy and annoyed,anger
i feel relieved he is doing okay,joy
i feel we are going back to being a savage primitive people,anger
i feel my eyelid move spastically all of its own accord but the rest of my body is loyal to something at least and stays still,love
i cannot access the parts of me that are hard and real and sad because going to that place feels dangerous like ill get stuck there and i wont be able to find my way out,anger
i feel highly vulnerable like my shields are all down,fear
i didnt feel he was nearly as disturbed as i was,sadness
i am forever getting the feeling that those without a faith background view me as less intelligent because i see god in things,joy
i feel very uncomfortable standing close to men,fear
ive been writing my entire adult life and feel quite amazed and delighted by that little fact,surprise
i love the way women taste and feel i love that women are delicate and like cute things,love
i feel that chanel are amazing,surprise
i really didnt feel to impressed by the album and i really cant call my self a big fan but ive heard the previous album and i felt a lot stronger on that one im afraid,surprise
